-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/30/2021 ,,,,,,,,,,,,,,,,
Location: Latitude  13.2868   Longitude 77.5952 ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 813.33 meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,,,
T2M                     MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,
PS                      MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,,,
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,,,
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,PS,WS10M,WD10M,WS50M,WD50M
2021,1,1,0,0,0,0,0,0,0,0,17.28,92.23,4.69,85.03,7.12,85.03
2021,1,1,1,0,0,0,0,0,0,0,16.67,92.16,4.33,84.82,6.77,84.84
2021,1,1,2,0,0,0,0,0,0,0,16.01,92.1,3.81,82.93,6.32,83.04
2021,1,1,3,0,0,0,0,0,0,0,15.5,92.09,3.57,81.32,6.21,81.53
2021,1,1,4,0,0,0,0,0,0,0,15.19,92.13,3.57,81.57,6.23,81.78
